time_step,bearing_temp,engine_speed,engine_load,lub_oil_inlet_temp,lub_oil_pressure,axial_vibration,engine_st_aft_brg_temp1,engine_intermed_shaft_brg_temp,cooling_water_temp,engine_air_temp,status,draft_fore,draft_aft,vs,relative_wind_speed,energy_efficiency_index,rudder_angle,depth
0.001236,0.742932,0.917774,0.606056,0.715185,0.945032,0.824891,0.806752,0.800539,0.822087,0.857795,1.000000,0.010100,0.038856,0.897372,0.265540,0.877349,0.499616,0.417918
0.001248,0.742146,0.913333,0.603587,0.712327,0.944766,0.825541,0.809011,0.800083,0.818973,0.857313,0.997819,0.009372,0.042612,0.903148,0.289231,0.879510,0.500965,0.423024
0.001260,0.742816,0.913347,0.602159,0.712200,0.945171,0.826304,0.803962,0.805750,0.815933,0.856912,1.000000,0.008747,0.038848,0.904006,0.285439,0.876895,0.499440,0.425208
0.001271,0.742132,0.914111,0.600095,0.713343,0.945667,0.823890,0.810079,0.805092,0.815342,0.854578,1.000000,0.009697,0.043731,0.906845,0.305663,0.876596,0.498070,0.430187
0.001283,0.743468,0.916246,0.599823,0.707673,0.945389,0.821119,0.814895,0.807265,0.815596,0.857202,1.000000,0.007640,0.039248,0.910346,0.290014,0.874954,0.503495,0.432155
0.001295,0.742653,0.916400,0.599096,0.698503,0.944610,0.822228,0.812196,0.803285,0.815928,0.855863,1.000000,0.008461,0.040194,0.910056,0.306573,0.874393,0.503789,0.438548
0.001307,0.741295,0.917291,0.598234,0.697592,0.944640,0.820673,0.811125,0.804138,0.815246,0.857312,1.000000,0.007837,0.044281,0.909946,0.305364,0.875157,0.499321,0.439823
0.001318,0.742247,0.914764,0.598664,0.697656,0.945312,0.821191,0.812117,0.804817,0.813438,0.858784,0.999817,0.008117,0.045918,0.910475,0.311673,0.874411,0.502582,0.444581
0.001330,0.742323,0.917179,0.597850,0.694553,0.943079,0.820469,0.813071,0.811825,0.813986,0.864223,0.999826,0.010690,0.044374,0.913522,0.271776,0.871833,0.499509,0.446984
0.001342,0.742049,0.915069,0.596821,0.698272,0.944021,0.821273,0.811871,0.809226,0.815432,0.861716,0.999329,0.009882,0.035147,0.912929,0.290133,0.874185,0.499843,0.450686
0.001354,0.740787,0.916046,0.596007,0.695346,0.944697,0.816913,0.812257,0.806682,0.815284,0.861157,1.000000,0.009770,0.036991,0.911324,0.303990,0.872854,0.496648,0.452870
0.001366,0.742392,0.912587,0.598496,0.697383,0.944658,0.818159,0.813703,0.804209,0.814567,0.861593,1.000000,0.005837,0.038758,0.916522,0.295661,0.875059,0.525611,0.457569
0.001377,0.743434,0.913056,0.632789,0.700288,0.944339,0.821552,0.812174,0.800874,0.814559,0.862915,0.998468,0.007224,0.037374,0.919017,0.311119,0.875029,0.503474,0.460477
0.001389,0.740654,0.915874,0.622184,0.698311,0.945622,0.828716,0.816915,0.800977,0.814395,0.862304,1.000000,0.009252,0.032950,0.915821,0.283645,0.871578,0.472293,0.466359
0.001401,0.740765,0.915836,0.606987,0.700218,0.946215,0.818083,0.816828,0.802606,0.814092,0.862923,0.999659,0.007969,0.036976,0.919941,0.286150,0.873915,0.491959,0.470935
0.001413,0.742693,0.916222,0.601085,0.697227,0.943519,0.818761,0.818015,0.803980,0.815721,0.861835,1.000000,0.006860,0.039311,0.920505,0.305145,0.873953,0.491173,0.472821
0.001424,0.744081,0.915215,0.593269,0.696498,0.943190,0.820492,0.818535,0.799798,0.815881,0.861490,0.999544,0.007496,0.040593,0.918133,0.310527,0.873025,0.496956,0.478965
0.001436,0.742355,0.916000,0.593307,0.698612,0.946389,0.817097,0.818652,0.799766,0.816174,0.865551,0.997094,0.006334,0.041814,0.920789,0.293651,0.872009,0.499446,0.482739
0.001448,0.743291,0.916744,0.590027,0.698310,0.944941,0.813661,0.816947,0.804450,0.814061,0.866054,0.998778,0.005898,0.041270,0.919107,0.274795,0.873408,0.500364,0.487892
0.001460,0.741425,0.914471,0.588932,0.697282,0.943127,0.811293,0.818538,0.800523,0.815081,0.867803,0.999332,0.005879,0.039441,0.917714,0.313706,0.873612,0.499714,0.489361
0.001471,0.740433,0.916254,0.588132,0.699829,0.943412,0.813340,0.817808,0.804765,0.813072,0.870611,0.999814,0.003692,0.043550,0.921773,0.280680,0.871628,0.499082,0.495621
